Country Name;Country Code;avg_GDP_capita;max_year;GDP_capita_max_year;min_year;GDP_capita_min_year;%_change
Afghanistan;AFG;574;2019;641.8714792000001;2010;502.1154869;2.765983916265946
Albania;ALB;4502;2019;5352.857411;2010;3952.801215;3.4263477592949565
Algeria;DZA;4675;2019;5592.257099;2010;3946.4439770000004;3.9489560099604804
American Samoa;ASM;11220;2018;11843.33118;2010;10271.22452;1.7961742366399802
Andorra;AND;39860;2019;43335.32886;2010;35762.523069999996;2.1570201072244055
Angola;AGO;4200;2019;5408.410496;2010;2973.59116;6.87235431358697
Antigua and Barbuda;ATG;14486;2019;17790.30931;2010;12746.20502;3.77414829777043
Arab World;ARB;6701;2019;7519.80826;2010;5934.2906840000005;2.66595209306586
Argentina;ARG;12459;2019;14591.86338;2010;10006.14897;4.280922788305519
Armenia;ARM;3821;2019;4622.733493;2010;3218.372707;4.105485373251061
Aruba;ABW;26415;2017;29007.693;2010;23512.6026;3.0458142378307684
Australia;AUS;58631;2019;68150.10704;2010;49971.131460000004;3.507526108828851
Austria;AUT;48800;2019;51717.49594;2010;44178.04738;1.7661726605381345
Azerbaijan;AZE;5936;2019;7891.313147;2010;3880.7387310000004;8.205246611792806
Bahamas;BHS;30412;2019;32933.48601;2010;28006.379719999997;1.816949498884357
Bahrain;BHR;23314;2019;24989.40012;2010;20722.137290000002;2.1023406577662884
Bangladesh;BGD;1239;2019;1855.7398239999998;2010;781.1535936;10.09140286615371
Barbados;BRB;16841;2019;18148.24493;2010;16056.370980000002;1.370057563527749
Belarus;BLR;6551;2019;8318.512690000001;2010;5022.626643;5.766001839637003
Belgium;BEL;45150;2019;47700.54036;2010;40991.80814;1.698377640936477
Belize;BLZ;4666;2019;4887.577208;2010;4270.864345;1.5099585441509689
Benin;BEN;1162;2019;1291.409808;2010;1036.533952;2.4728817915681045
Bermuda;BMU;86347;2013;88207.32756;2010;85458.45551;1.060910873362042
Bhutan;BTN;2744;2018;3286.574703;2010;2258.183141;4.80283804177235
Bolivia;BOL;2947;2019;3552.068762;2010;1955.461557;6.857144532717929
